time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
201607132250,16°C,Wind blowing from 310° Northwest to Southeast,11 km/h,Clear.,1014 mbar,72%
201607132320,16°C,Wind blowing from 330° North-northwest to South-southeast,11 km/h,Clear.,1014 mbar,72%
201607132350,15°C,Wind blowing from 310° Northwest to Southeast,19 km/h,Passing clouds.,1014 mbar,72%
201607140020,15°C,Wind blowing from 300° West-northwest to East-southeast,15 km/h,Clear.,1014 mbar,72%
201607140050,14°C,Wind blowing from 300° West-northwest to East-southeast,15 km/h,Clear.,1014 mbar,82%
201607140120,14°C,Wind blowing from 300° West-northwest to East-southeast,13 km/h,Passing clouds.,1014 mbar,82%
201607140150,14°C,Wind blowing from 350° North to South,15 km/h,Cool.,1014 mbar,82%
201607140220,14°C,Wind blowing from 310° Northwest to Southeast,7 km/h,Clear.,1014 mbar,82%
201607140250,13°C,Wind blowing from 290° West-northwest to East-southeast,7 km/h,Partly cloudy.,1014 mbar,88%
201607140320,13°C,Wind blowing from 280° West to East,13 km/h,Partly cloudy.,1014 mbar,88%
201607140350,13°C,Wind blowing from 310° Northwest to Southeast,11 km/h,Clear.,1014 mbar,82%
201607140420,13°C,Wind blowing from 310° Northwest to Southeast,15 km/h,Clear.,1014 mbar,82%
201607140450,13°C,Wind blowing from 310° Northwest to Southeast,20 km/h,Cool.,1014 mbar,88%
201607140520,13°C,Wind blowing from 320° Northwest to Southeast,22 km/h,Light rain. Passing clouds.,1014 mbar,88%
201607140550,13°C,Wind blowing from 310° Northwest to Southeast,24 km/h,Passing clouds.,1014 mbar,88%
201607140620,13°C,Wind blowing from 320° Northwest to Southeast,22 km/h,Partly sunny.,1015 mbar,88%
201607140650,12°C,Wind blowing from 320° Northwest to Southeast,24 km/h,Broken clouds.,1015 mbar,94%
201607140720,12°C,Wind blowing from 320° Northwest to Southeast,22 km/h,Light rain. Broken clouds.,1015 mbar,88%
201607140750,11°C,Wind blowing from 320° Northwest to Southeast,24 km/h,Rain showers. Partly sunny.,1015 mbar,100%
201607140820,11°C,Wind blowing from 320° Northwest to Southeast,26 km/h,Scattered showers. Partly sunny.,1015 mbar,94%
201607140850,11°C,Wind blowing from 320° Northwest to Southeast,26 km/h,Light rain. Partly sunny.,1015 mbar,88%
201607140920,11°C,Wind blowing from 320° Northwest to Southeast,28 km/h,Light rain. Partly sunny.,1015 mbar,88%
201607140950,11°C,Wind blowing from 320° Northwest to Southeast,24 km/h,Partly sunny.,1016 mbar,88%
201607141020,12°C,Wind blowing from 320° Northwest to Southeast,26 km/h,Broken clouds.,1016 mbar,82%
201607141050,12°C,Wind blowing from 320° Northwest to Southeast,22 km/h,Broken clouds.,1016 mbar,82%
201607141120,13°C,Wind blowing from 320° Northwest to Southeast,20 km/h,Broken clouds.,1016 mbar,77%
201607141150,13°C,Wind blowing from 330° North-northwest to South-southeast,22 km/h,Scattered showers. Broken clouds.,1016 mbar,72%
201607141220,13°C,Wind blowing from 330° North-northwest to South-southeast,22 km/h,Scattered showers. Partly sunny.,1017 mbar,72%
201607141250,14°C,Wind blowing from 330° North-northwest to South-southeast,17 km/h,Partly sunny.,1017 mbar,72%
201607141320,13°C,Wind blowing from 310° Northwest to Southeast,17 km/h,Broken clouds.,1017 mbar,77%
201607141350,15°C,Wind blowing from 320° Northwest to Southeast,19 km/h,Broken clouds.,1016 mbar,68%
201607141420,15°C,Wind blowing from 310° Northwest to Southeast,19 km/h,Broken clouds.,1016 mbar,63%
201607141450,17°C,Wind blowing from 310° Northwest to Southeast,15 km/h,Broken clouds.,1016 mbar,52%
201607141520,17°C,Wind blowing from 330° North-northwest to South-southeast,19 km/h,Broken clouds.,1016 mbar,52%
201607141550,18°C,Wind blowing from 300° West-northwest to East-southeast,22 km/h,Scattered clouds.,1016 mbar,49%
201607141620,16°C,Wind blowing from 300° West-northwest to East-southeast,26 km/h,Broken clouds.,1017 mbar,55%
201607141650,18°C,Wind blowing from 300° West-northwest to East-southeast,20 km/h,Partly sunny.,1017 mbar,43%
201607141720,18°C,Wind blowing from 300° West-northwest to East-southeast,26 km/h,Scattered clouds.,1017 mbar,43%
201607141750,17°C,Wind blowing from 290° West-northwest to East-southeast,26 km/h,Scattered clouds.,1017 mbar,52%
201607141820,17°C,Wind blowing from 290° West-northwest to East-southeast,24 km/h,Scattered clouds.,1017 mbar,49%
201607141850,17°C,Wind blowing from 290° West-northwest to East-southeast,26 km/h,Partly sunny.,1017 mbar,52%
201607141920,16°C,Wind blowing from 290° West-northwest to East-southeast,26 km/h,Passing clouds.,1017 mbar,55%
201607141950,16°C,Wind blowing from 300° West-northwest to East-southeast,30 km/h,Sunny.,1017 mbar,59%
201607142020,15°C,Wind blowing from 290° West-northwest to East-southeast,24 km/h,Sunny.,1018 mbar,63%
201607142050,14°C,Wind blowing from 280° West to East,20 km/h,Sunny.,1018 mbar,63%
201607142120,13°C,Wind blowing from 280° West to East,19 km/h,Sunny.,1018 mbar,72%
201607142150,13°C,Wind blowing from 270° West to East,19 km/h,Sunny.,1019 mbar,72%
201607142220,13°C,Wind blowing from 270° West to East,19 km/h,Sunny.,1019 mbar,72%
201607142250,13°C,Wind blowing from 270° West to East,17 km/h,Clear.,1019 mbar,72%
201607142320,13°C,Wind blowing from 270° West to East,17 km/h,Clear.,1019 mbar,72%
201607142350,12°C,Wind blowing from 290° West-northwest to East-southeast,17 km/h,Light rain. Partly cloudy.,1019 mbar,88%
201607150020,12°C,Wind blowing from 290° West-northwest to East-southeast,15 km/h,Partly cloudy.,1020 mbar,88%
201607150050,12°C,Wind blowing from 290° West-northwest to East-southeast,20 km/h,Passing clouds.,1020 mbar,88%
201607150120,12°C,Wind blowing from 290° West-northwest to East-southeast,19 km/h,Partly cloudy.,1020 mbar,88%
201607150150,12°C,Wind blowing from 260° West to East,17 km/h,Partly cloudy.,1020 mbar,88%
201607150220,12°C,Wind blowing from 260° West to East,20 km/h,Passing clouds.,1020 mbar,88%
201607150250,12°C,Wind blowing from 270° West to East,17 km/h,Passing clouds.,1020 mbar,88%
201607150320,12°C,Wind blowing from 270° West to East,17 km/h,Passing clouds.,1020 mbar,88%
201607150350,12°C,Wind blowing from 260° West to East,17 km/h,Passing clouds.,1020 mbar,88%
201607150420,11°C,Wind blowing from 270° West to East,19 km/h,Clear.,1021 mbar,94%
201607150450,11°C,Wind blowing from 280° West to East,17 km/h,Partly cloudy.,1021 mbar,88%
